id,name,names,external_ids,website,wikipedia
13,Australian National University,"{""ru"":""Австралийский национальный университет"",""es"":""Universidad Nacional Australiana"",""zh"":""澳大利亚国立大学"",""ar"":""الجامعة الوطنية الأسترالية"",""fr"":""L’Université nationale australienne"",""de"":""Australische Nationaluniversität"",""ja"":""オーストラリア国立大学"",""ko"":""오스트레일리아 국립대학교"",""pt"":""Universidade Nacional Australiana""}","{""ISNI"":""0000 0001 2180 7477"",""FundRef"":""100009020    "",""OrgRef"":""285106"",""Wikidata"":""Q127990""}",http://www.anu.edu.au,https://ru.wikipedia.org/wiki/Австралийский_национальный_университет
14,City University of Hong Kong,"{""ru"":""Городской университет Гонконга"",""es"":""Universidad de la Ciudad de Hong Kong"",""zh"":""香港城市大学"",""ar"":""جامعة مدينة هونغ كونغ"",""fr"":""Université municipale de Hong Kong"",""de"":""Städtisch Universität Hongkong"",""ja"":""香港城市大学"",""ko"":""홍콩시립대학"",""pt"":""Universidade da Cidade de Hong Kong""}","{""ISNI"":""0000 0004 1792 6846"",""FundRef"":""100007567"",""OrgRef"":""25587444"",""Wikidata"":""Q787360""}",http://www.cityu.edu.hk,http://en.wikipedia.org/wiki/City_University_of_Hong_Kong
15,Curtin University,"{""ru"":""Университет Кёртин"",""es"":""Universidad de Curtin"",""zh"":""科庭大学"",""ar"":""جامعة كيرتن"",""fr"":""L'Université de Curtin"",""de"":""Curtin University"",""ja"":""カーティン大学"",""ko"":""커틴 공과대학교"",""pt"":""Universidade de Curtin""}","{""ISNI"":""0000 0004 0375 4078"",""FundRef"":""501100001797"",""OrgRef"":""370725"",""Wikidata"":""Q1145497""}",http://www.curtin.edu.au,http://en.wikipedia.org/wiki/Curtin_University
16,Hong Kong University of Science and Technology,"{""ru"":""Гонконгский научно-технологический университет"",""es"":""Universidad de Ciencia y Tecnología de Hong Kong"",""zh"":""香港科技大学"",""ar"":""جامعة هونغ كونغ للعلوم والتكنولوجيا"",""fr"":""Université des Sciences et Technologies de Hong Kong"",""de"":""The Hong Kong University of Science and Technology"",""ja"":""香港科技大学"",""ko"":""홍콩과학기술대학"",""pt"":""Universidade de Ciência e Tecnologia de Hong Kong""}","{""ISNI"":""0000 0004 1937 1450"",""FundRef"":""501100005950"",""OrgRef"":""268987"",""Wikidata"":""Q1333303""}",http://www.ust.hk,http://en.wikipedia.org/wiki/Hong_Kong_University_of_Science_and_Technology
17,Royal Melbourne Institute of Technology,[],"{""ISNI"":""0000 0001 2163 3550"",""FundRef"":""100008690"",""OrgRef"":""509851"",""Wikidata"":""Q1057890""}",http://www.rmit.edu.au,https://en.wikipedia.org/wiki/RMIT_University
18,United Arab Emirates University,"{""ar"":""جامعة الإمارات العربية المتحدة""}","{""ISNI"":""0000 0001 2193 6666"",""FundRef"":""501100006014"",""OrgRef"":""1658874"",""Wikidata"":""Q1544739""}",http://www.uaeu.ac.ae,http://en.wikipedia.org/wiki/United_Arab_Emirates_University
19,University of Basel,"{""ru"":""Базельский университет"",""es"":""Universidad de Basilea"",""zh"":""巴塞尔大学"",""ar"":""جامعة بازل"",""fr"":""Université de Bâle"",""de"":""Universität Basel"",""ja"":""バーゼル大学"",""ko"":""바젤대학교"",""pt"":""Universidade de Basileia"",""it"":""Università di Basilea""}","{""ISNI"":""0000 0004 1937 0642"",""FundRef"":""100008550"",""OrgRef"":""427614"",""Wikidata"":""Q372608""}",http://www.unibas.ch,http://en.wikipedia.org/wiki/University_of_Basel
20,University of Hong Kong,"{""ru"":""Гонконгский университет"",""es"":""Universidad de Hong Kong"",""zh"":""香港大学"",""ar"":""جامعة هونغ كونغ"",""fr"":""Université de Hong Kong"",""de"":""Universität Hongkong"",""ja"":""香港大学"",""ko"":""홍콩대학"",""pt"":""Universidade de Hong Kong""}","{""ISNI"":""0000000121742757"",""FundRef"":""501100003802"",""OrgRef"":""268075"",""Wikidata"":""Q15568""}",http://www.hku.hk,http://en.wikipedia.org/wiki/University_of_Hong_Kong
21,University of Otago,"{""ru"":""Университет Отаго"",""es"":""Universidad de Otago"",""zh"":""奥塔哥大学"",""ar"":""جامعة أوتاجو"",""fr"":""Université d'Otago"",""de"":""University of Otago"",""ja"":""オタゴ大学"",""ko"":""오타고대학교"",""pt"":""Universidade de Otago""}","{""ISNI"":""0000 0004 1936 7830"",""FundRef"":""100008248"",""OrgRef"":""2967510"",""Wikidata"":""Q1201513""}",http://www.otago.ac.nz,http://en.wikipedia.org/wiki/University_of_Otago
22,University of Zurich,"{""ru"":""Цюрихский университет"",""es"":""Universidad de Zúrich"",""zh"":""苏黎世大学"",""ar"":""جامعة زيورخ"",""fr"":""Université de Zurich"",""de"":""Universität Zürich"",""ja"":""チューリッヒ大学"",""ko"":""취히리대학교"",""pt"":""Universidade de Zurique"",""it"":""Università di Zurigo""}","{""ISNI"":""0000 0004 1937 0650"",""FundRef"":""501100006447"",""OrgRef"":""314803"",""Wikidata"":""Q206702""}",http://www.uzh.ch,https://ru.wikipedia.org/wiki/Цюрихский_университет
